Precental gyrus, left
Precental gyrus, right
Superior frontal gyrus, dorsolateral, left
Superior frontal gyrus, dorsolateral, right
Superior frontal gyrus, obital part, left
Superior frontal gyrus, obital part, right
Middle frontal gyrus, left
Middle frontal gyrus, right
Middle frontal gyrus, orbital part, left
Middle frontal gyrus, orbital part, right
Inferior frontal gyrus, opercular part, left
Inferior frontal gyrus, opercular part, right
Inferior frontal gyrus, triangular part, left
Inferior frontal gyrus, triangular part, right
Inferior frontal gyrus, orbital part, left
Inferior frontal gyrus, orbital part, right
Rolandic operculum, left
Rolandic operculum, right
Supplementary motor area, left
Supplementary motor area, right
Olfactory cortex, left
Olfactory cortex, right
Superior frantal gyrus, medial, left
Superior frantal gyrus, medial, right
Superior frontal gyrus, medial orbital, left
Superior frontal gyrus, medial orbital, right
Gyrus rectus, left
Gyrus rectus, right
Insula, left
Insula, right
Anterior cingulate and paracingulate gyri, left
Anterior cingulate and paracingulate gyri, right
Median cingulate and paracingulate gyri, left
Median cingulate and paracingulate gyri, right
Posterior cingulate grus, left
Posterior cingulate grus, right
Hippocampus, left
Hippocampus, right
Parahippocampal gyrus, left
Parahippocampal gyrus, right
Amygdala, left
Amygdala, right
Calcarine fissure and surrounding cortex, left
Calcarine fissure and surrounding cortex, right
Cuneus, left
Cuneus, right
Lingual gyrus, left
Lingual gyrus, right
Superior occipital gyrus, left
Superior occipital gyrus, right
Middle occipital gyrus, left
Middle occipital gyrus, right
Inferior occipital gyrus, left
Inferior occipital gyrus, right
Fusiform gyrus, left
Fusiform gyrus, right
Postcentral gyrus, left
Postcentral gyrus, right
Superior parietal gyrus, left
Superior parietal gyrus, right
Inferior parietal, but supramarginal and angualr gyri, left
Inferior parietal, but supramarginal and angualr gyri, right
Supramarginal gyrus, left
Supramarginal gyrus, right
Angular gyrus, left
Angular gyrus, right
Precuneus, left
Precuneus, right
Paracentral lobule, left
Paracentral lobule, right
Caudate nucleus, left
Caudate nucleus, right
Lenticular nucleus, putamen, left
Lenticular nucleus, putamen, right
Lenticular nucleus, pallidum, left
Lenticular nucleus, pallidum, right
Thalamus, left
Thalamus, right
Heschl gyrus, left
Heschl gyrus, right
Superior temporal gyrus, left
Superior temporal gyrus, right
Temporal pole: superior temporal gyrus, left
Temporal pole: superior temporal gyrus, right
Middle temporal gyrus, left
Middle temporal gyrus, right
Temporal pole: middle temporal gyrus, left
Temporal pole: middle temporal gyrus, right
Inferior temporal gyrus, left
Inferior temporal gyrus, right